ARTE 2101,FUNDAMENTOS DE PINTURA
IIND 4305,SEMINARIO DE COMPLEJIDAD
ISIS 1404,TI EN LAS ORGANIZACIONES
CIDE 4151,TRABAJO DE GRADO FINAL
LENG 1464,CONVERSA Y ESCRIT EN JAPON�S 4
MUSI 2602,SONIDO EN VIVO 1
MUSI 3619,PRE-PROYECTO PRODUCCI�N - 15
MBIO 3913,"TRABAJO GRADO, MONOGR, PRAC.GR"
BIOL 3909,"TRABAJO GRADO, MONOG.PRAT.GRAD"
ICYA 2407,MICROBIOLOGIA AMBIENTAL
MEDI 3416,GINECOLOGIA Y OBSTETRICIA
MEDI 3501,MODULO SELECTIVO I AT. PRIM. 1
MUSI 2400,CONJUNTO 2
LENG 6991,INGLES DOCTORADOS 1
IQUI 3002,LAB. PROC. SEPARACION
MBIO 3605,MICROBIOLOGIA AMBIENTAL-LAB
FISI 3020,MECANICA CUANTICA II
LENG 1304,ALEMAN 4
MUSI 3512,COMPOSICI�N PARA LA IMAGEN III
ARQU 1121,TALLER DE COMPOSICION 2
IQUI 2102C,COMPL. FENOMENOS TRANSPORTE 2
MATE 6985,PRETESIS 5
ISIS 3510L,LAB. CONSTR. APLICAC. MOVILES
MBIT 4303,TESIS 2
MUSI 2403,CONJUNTO 5
CBIO 6971,EXAMEN DE CANDIDATURA
MEDI 3410,ANESTESIOLOGIA
MATE 2711,METODOS MATEM. PARA ECONO.
DISE 1106,ESTUDIO 1
ICYA 4704,HIDRAULICA DE TUBERIAS
MUSI 2504,COMPOSICION 1
IIND 2400,SIST. DE CONTROL GERENCIAL
MEDI 1999,REQUISITO DE VACUNAS 3 SEMEST.
MIAD 4970,EXAMENES COMPREHENSIVOS
DISE 2308,PRODUCTO 3
ARTE 3994,PRACTICA ACADEMICA OBLIGATORIA
DISE 2101,ESTUDIO 4
MEDI 3529,MODULO SELECTIVO II SALUD P. 3
CONT 1441,FUNDAMENTOS DE ASEGURAMIENTO
ADMI 2556,HERRAMIENTAS TOMA DECI I
ICYA 4218,TESIS 2 MIAMB
IIND 1001,PROGRAMA DE ACOMPA�AMIENTO
MISO 4005,INTERCAMBIO INTERNACIONAL
MATE 1214,CALCULO INTEGRAL-ECUAC.DIFEREN
ANTR 4137,LECTURAS DIRIGIDAS 1
MATE 1106,ALGEBRA LINEAL 1 (HONORES)
PSCL 4109,REVISTA DE CASOS CL�NICOS I
QUIM 2518,FUNDAMENTOS DE FISICOQU�MICA
QUIM 1111,QUIMICA EXPERIMENTAL
FISI 4102,SEMINARIO 2 ALTAS ENERGIAS
HIST 3993,PRACTICA DE GRADO
IELE 3110,ECONOMIA SISTEMAS DE POTENCIA
ISIS 2203L,LAB INFRAESTRUCTURA COMPUTACIO
DERE 1901,EXAMEN DE CICLO 1
CIDE 4133,AVANCE TRABAJO DE GRADO
FISI 2007,METODOS MATEMATICOS
BIOL 3911,PRACTICA DE GRADO
IQUI 4301,TESIS I
MIIA 4200,MINERIA DE DATOS
MEDI 1102,HABILIDADES DE COMUNICACI�N I
DADM 6985,SEMINARIO DE TESIS V
ICYA 4530,ANALISIS DE RIESGO
MUSI 1203,ARMONIA 2
IQUI 3032,TALLER DISE�O PLANTAS
MATE 1252,CALCULO INTEGRAL-PROBABILIDAD
IQUI 2101,FENOMENOS DE TRANSPORTE 1
IQUI 2023,LAB. TERMODINAMICA
MUSI 2824,PIANO APLICADO 3 - 15
PSIC 3600,OPCION GRADO MATERIAS MAESTRIA
QUIM 4400,BIOQUIMICA - FITOQUIMICA
IELE 3002,PROYECTO DE GRADO ELECTRONICA
ARQU 1502,VISUALIZACION Y SIMULACI�N ARQ
ARTI 4204,ARQUITECTURA DE SEGURIDAD
MUSI 2402,CONJUNTO 4
ADMI 3431,MARKETING DIGITAL
QUIM 1618,FUNDAMENTOS AN�LISIS QU�MICO
ICYA 4350,NIV. ING. GERENC. CONSTRUCCION
QUIM 1211,LABORATORIO DE QUIMICA INORG.I
ICYA 4292,PROYECTO GRADO GERENCIA
DISE 3152,E6: PROD. Y SERVICIOS M�DICOS
MUSI 1903,LITERATURA VOCAL 1
IBIO 2260,MODELADO Y SIMULACI�N SIST BIO
FISI 4405,MECANICA ANALITICA
IELE 3430,TALLER DE COMUNICACIONES
LENG 1744,CHINO 4
MTRI 4202,TEMAS AVANZ TRIB INTERNACIONAL
ICYA 4302,PLANIF. CONSTR. LEAN CONSTRUCT
ECON 6302,ECONOMETR�A 2 DOC
FISI 6972,EXAMEN DE CANDIDATURA
FILO 6990,TUTOR�A DE INVESTIGACI�N 4 DOC
MEDI 1219,LABORATORIO DE ANATOMIA
FISI 1005,COLOQUIO 2 DE FISICA
MADM 4550,ESTRATEGIA
CBIO 4805,PROFUNDIZAC. EN INVESTIGACION
CIDE 4134,ESTUDIOS DIRIGIDOS 2
MEDI 3524,MODULO SELECTIVO II SALUD P. 2
ECON 3747,ECON DEL COMPORTAMIENTO Y EXPE
QUIM 6982,TESIS 2 (DOCTORADO)
IIND 4324,APLIC. Y TEORIA EVOLUTIVA ORG.
ISIS 1105,DISE�O Y ANALISIS DE ALGORI.
EGOB 4201,EVALUACION DE POLITICAS PUBL.
MATE 2211,CALCULO VARIABLE COMPLEJA
IIND 2201,CONTROL DE PRODUCCION
PSIC 3916,PSICOANALISIS NI�OS
MADM 4206,GERENCIA FINANCIERA
ARTE 3200,ARTE Y PROCESOS CIENTIFICOS
MATE 3902,PROYECTO DE GRADO
ECON 2105,TEORIA DE JUEGOS
ICYA 3078,PROY. FINAL DISE�O ING.CIVIL
MEDI 3540,INTERNADO SELECTIVO ADMI. 3
IQUI 3501,PROYECTO ESPECIAL
ANTR 1401,ANTROPOLOG�A BIOL�GICA
MBIO 3513,GENOMICA Y BIOINFORMATICA
MEDI 3504,MODULO SELECTIVO I SALUD P. 1
MUSI 1600,TECLADO 1
ANTR 3178,SEM. ELECTIVO HOMOLOGADO 2
ECON 4659,TEORIA DE JUEGOS
MEDI 3414,BITACORA CLINICA II
GEOC 3118,PALAEONTOLOGY MARINE REPTILES
IIND 2201C,REFUERZO CONTROL DE PRODUCCION
GEOC 3102,YACIMIENTOS MINERALES (L)
IMEC 1330,TERMODIN�MICA
FISI 3101,SEMINARIO DE ALTAS ENERGIAS
ISIS 3007,PROYECTO DE GRADO
BIOL 1300,BIOLOGIA DE ORGANISMOS-TEO
IQUI 3106,FUND CIENCIA INGEN POLIMEROS
ECON 6202,MACROECONOM�A LP DOC
ISIS 2007,DISE�O PROD. E INNOVACI�N TI
DERE 2502,PROTECCI�N LABORAL
MUSI 3610,TRABAJO DE GRADO
MBIO 2400,BIOESTADISTICA-TEO
ARTI 4103,ARQUITECTURA DE NEGOCIO Y TI
ICYA 4102,MOD. PROCESOS Y SIST. AMBIENTA
CPOL 6975,EX AREA MAYOR-POL COLOMBIANA
MEDI 3427,URGENCIAS
MUSI 2515,COMPOSICI�N PARA LA IMAGEN II
PSIC 3884,INVESTIGACION DEL DESARROLLO
ISIS 4002,TUTORIAL
IELE 2901,MONITORIA ING ELECTR-ELECTRO 2
MUSI 1209,PIANO COMPLEMENTARIO 2
MUSI 2816,LITERATURA VOCAL 3
ANTR 6983,DESARROLLO TESIS DOCTORAL
MEDI 1105,EPIDEMIOLOGIA
ARTE 3603,PROYECTO NUEVO PENSUM
EGOB 3004,EVALUACI�N DE POL�TICAS P�BL
ISIS 1206,ESTRUCTURAS DE DATOS
LITE 2100,TEORIA LITERARIA 2
CBIO 6987,TESIS DOCTORADO 8
FISI 6113,SEMINARIO AVANZADO 3
