course_code,name,program_id
ECON 2106,TEORIA DEL CONSUMIDOR Y FIRMA,26
IELE 1010,CIRCUITOS E INSTRUMENTACION,3
IMEC 3700,SEMINARIO PROYECTOS,21
FISI 3902,SEM.2-ASTRONOMIA Y ASTROFISICA,1
QUIM 6983,TESIS 3 (DOCTORADO),5
DERE 3905,EXAMEN DE FACULTAD,35
HIST 6982,TUTORIAL DE PROY. III- DHIST,32
IQUI 2090,PROYECTO DE MITAD DE CARRERA,9
ISIS 1001,INTROD. INGENIERIA DE SISTEMAS,19
BIOL 2308,ECOLOGIA-TEO,41
MEDI 3548,DESCIF. LA ENF: INVEST. BIOMED,15
ARTI 4005,INTERCAMBIO INTERNACIONAL,39
MEDI 2108,SEMI. I Y AT. PRI. A LA COMU.,15
MUSI 2213,MORFOLOGIA 2,10
IMEC 2520,MEC�NICA S�LIDOS DEFORMABLES,21
MEDI 3526,MODULO SELECTIVO II AT. PRI. 3,15
IMEC 2540L,LAB. DINAMICA SISTEM.MECANICOS,21
MEDI 3527,MODULO SELECTIVO II HOS. CL. 3,15
MUSI 3607,PRODUCCION MUSICAL 2,10
FISI 1019,FISICA EXPERIMENTAL I,1
FISI 6984,TESIS IV,1
PSIC 1204,PRINCIPIOS DE NEUROCIENCIAS 1,28
PSIC 3846,PSIC EN SIST INTEGR DE GESTION,28
IIND 3301,SISTEMAS PUBLICOS,8
MBIO 2102,BIOLOGIA MOLECULAR-TEO,37
LENG 2611,ITALIANO 5: ITALIANO Y TEXTOS,33
IIND 2106C,REFUERZO PROBA Y ESTAD I,8
ISIS 4820,AMBIENTES INTERACTIVOS 3D,19
EDUC 6011,PASANTIA DOCTORAL,11
MEDI 2312,SISTEMA OSTEOMUSCULAR,15
MEDI 3415,TURNOS CLINICOS II,15
DISE 3129,ESTUDIO 7: TALLER INNOVACI�N,16
MATE 1505,PROB. Y ESTADISTICA 1,2
LITE 2405,LAT�N II,43
MBIO 3993,PRACTICA DE GRADO,37
LENG 3239,L�HUMOUR DANS LA LANGUE FRANCA,33
PSIC 2707,DISE�O Y AN�LISIS DE INV. 2,28
ARTI 4102,COMUNICACION EFECTIVA,39
MATE 1105,ALGEBRA LINEAL 1,2
LENG 4994,TALLER DE LECTURA 2 - CIFE,33
MATE 1506,PROB.Y ESTADISTICA 2,2
MBIO 2310C,COMP.BIOLOG.MOLECULAR CELULA,37
ARTE 1117,TALLER BASICO 2,6
CPOL 2501,TALLER METODOLOGIA,13
MATE 2301,ECUACIONES DIFERENCIALES,2
DISE 3151,E7: INDUSTRIAS CULTURALES,16
MUSI 3612,ARMONIA POPULAR 2 ANALISIS Y,10
IMEC 4800,PROB. ESPECIAL MAGISTER,21
ARTE 2101,FUNDAMENTOS DE PINTURA,6
IIND 4305,SEMINARIO DE COMPLEJIDAD,8
ISIS 1404,TI EN LAS ORGANIZACIONES,19
CIDE 4151,TRABAJO DE GRADO FINAL,24
LENG 1464,CONVERSA Y ESCRIT EN JAPON�S 4,33
MUSI 2602,SONIDO EN VIVO 1,10
MUSI 3619,PRE-PROYECTO PRODUCCI�N - 15,10
MBIO 3913,TRABAJO GRADO MONOGR PRAC.GR,37
BIOL 3909,TRABAJO GRADO MONOG.PRAT.GRAD,41
ICYA 2407,MICROBIOLOGIA AMBIENTAL,4
MEDI 3416,GINECOLOGIA Y OBSTETRICIA,15
MEDI 3501,MODULO SELECTIVO I AT. PRIM. 1,15
MUSI 2400,CONJUNTO 2,10
LENG 6991,INGLES DOCTORADOS 1,33
IQUI 3002,LAB. PROC. SEPARACION,9
MBIO 3605,MICROBIOLOGIA AMBIENTAL-LAB,37
FISI 3020,MECANICA CUANTICA II,1
LENG 1304,ALEMAN 4,33
MUSI 3512,COMPOSICI�N PARA LA IMAGEN III,10
ARQU 1121,TALLER DE COMPOSICION 2,22
IQUI 2102C,COMPL. FENOMENOS TRANSPORTE 2,9
MATE 6985,PRETESIS 5,2
ISIS 3510L,LAB. CONSTR. APLICAC. MOVILES,19
MBIT 4303,TESIS 2,23
MUSI 2403,CONJUNTO 5,10
CBIO 6971,EXAMEN DE CANDIDATURA,17
MEDI 3410,ANESTESIOLOGIA,15
MATE 2711,METODOS MATEM. PARA ECONO.,2
DISE 1106,ESTUDIO 1,16
ICYA 4704,HIDRAULICA DE TUBERIAS,4
MUSI 2504,COMPOSICION 1,10
IIND 2400,SIST. DE CONTROL GERENCIAL,8
MEDI 1999,REQUISITO DE VACUNAS 3 SEMEST.,15
MIAD 4970,EXAMENES COMPREHENSIVOS,44
DISE 2308,PRODUCTO 3,16
ARTE 3994,PRACTICA ACADEMICA OBLIGATORIA,6
DISE 2101,ESTUDIO 4,16
MEDI 3529,MODULO SELECTIVO II SALUD P. 3,15
CONT 1441,FUNDAMENTOS DE ASEGURAMIENTO,36
ADMI 2556,HERRAMIENTAS TOMA DECI I,27
ICYA 4218,TESIS 2 MIAMB,4
IIND 1001,PROGRAMA DE ACOMPA�AMIENTO,8
MISO 4005,INTERCAMBIO INTERNACIONAL,40
MATE 1214,CALCULO INTEGRAL-ECUAC.DIFEREN,2
ANTR 4137,LECTURAS DIRIGIDAS 1,7
MATE 1106,ALGEBRA LINEAL 1 (HONORES),2
PSCL 4109,REVISTA DE CASOS CL�NICOS I,38
QUIM 2518,FUNDAMENTOS DE FISICOQU�MICA,5
QUIM 1111,QUIMICA EXPERIMENTAL,5
FISI 4102,SEMINARIO 2 ALTAS ENERGIAS,1
HIST 3993,PRACTICA DE GRADO,32
IELE 3110,ECONOMIA SISTEMAS DE POTENCIA,3
ISIS 2203L,LAB INFRAESTRUCTURA COMPUTACIO,19
DERE 1901,EXAMEN DE CICLO 1,35
CIDE 4133,AVANCE TRABAJO DE GRADO,24
FISI 2007,METODOS MATEMATICOS,1
BIOL 3911,PRACTICA DE GRADO,41
IQUI 4301,TESIS I,9
MIIA 4200,MINERIA DE DATOS,45
MEDI 1102,HABILIDADES DE COMUNICACI�N I,15
DADM 6985,SEMINARIO DE TESIS V,46
ICYA 4530,ANALISIS DE RIESGO,4
MUSI 1203,ARMONIA 2,10
IQUI 3032,TALLER DISE�O PLANTAS,9
MATE 1252,CALCULO INTEGRAL-PROBABILIDAD,2
IQUI 2101,FENOMENOS DE TRANSPORTE 1,9
IQUI 2023,LAB. TERMODINAMICA,9
MUSI 2824,PIANO APLICADO 3 - 15,10
PSIC 3600,OPCION GRADO MATERIAS MAESTRIA,28
QUIM 4400,BIOQUIMICA - FITOQUIMICA,5
IELE 3002,PROYECTO DE GRADO ELECTRONICA,3
ARQU 1502,VISUALIZACION Y SIMULACI�N ARQ,22
ARTI 4204,ARQUITECTURA DE SEGURIDAD,39
MUSI 2402,CONJUNTO 4,10
ADMI 3431,MARKETING DIGITAL,27
QUIM 1618,FUNDAMENTOS AN�LISIS QU�MICO,5
ICYA 4350,NIV. ING. GERENC. CONSTRUCCION,4
QUIM 1211,LABORATORIO DE QUIMICA INORG.I,5
ICYA 4292,PROYECTO GRADO GERENCIA,4
DISE 3152,E6: PROD. Y SERVICIOS M�DICOS,16
MUSI 1903,LITERATURA VOCAL 1,10
